OSDTRRX_EL1			S2_0_c0_c0_2
DBGBVR0_EL1			S2_0_c0_c0_4
DBGBCR0_EL1			S2_0_c0_c0_5
DBGWVR0_EL1			S2_0_c0_c0_6
DBGWCR0_EL1			S2_0_c0_c0_7
DBGBVR1_EL1			S2_0_c0_c1_4
DBGBCR1_EL1			S2_0_c0_c1_5
DBGWVR1_EL1			S2_0_c0_c1_6
DBGWCR1_EL1			S2_0_c0_c1_7
MDCCINT_EL1			S2_0_c0_c2_0
MDSCR_EL1			S2_0_c0_c2_2
DBGBVR2_EL1			S2_0_c0_c2_4
DBGBCR2_EL1			S2_0_c0_c2_5
DBGWVR2_EL1			S2_0_c0_c2_6
DBGWCR2_EL1			S2_0_c0_c2_7
OSDTRTX_EL1			S2_0_c0_c3_2
DBGBVR3_EL1			S2_0_c0_c3_4
DBGBCR3_EL1			S2_0_c0_c3_5
DBGWVR3_EL1			S2_0_c0_c3_6
DBGWCR3_EL1			S2_0_c0_c3_7
DBGBVR4_EL1			S2_0_c0_c4_4
DBGBCR4_EL1			S2_0_c0_c4_5
DBGWVR4_EL1			S2_0_c0_c4_6
DBGWCR4_EL1			S2_0_c0_c4_7
DBGBVR5_EL1			S2_0_c0_c5_4
DBGBCR5_EL1			S2_0_c0_c5_5
DBGWVR5_EL1			S2_0_c0_c5_6
DBGWCR5_EL1			S2_0_c0_c5_7
OSECCR_EL1			S2_0_c0_c6_2
DBGBVR6_EL1			S2_0_c0_c6_4
DBGBCR6_EL1			S2_0_c0_c6_5
DBGWVR6_EL1			S2_0_c0_c6_6
DBGWCR6_EL1			S2_0_c0_c6_7
DBGBVR7_EL1			S2_0_c0_c7_4
DBGBCR7_EL1			S2_0_c0_c7_5
DBGWVR7_EL1			S2_0_c0_c7_6
DBGWCR7_EL1			S2_0_c0_c7_7
DBGBVR8_EL1			S2_0_c0_c8_4
DBGBCR8_EL1			S2_0_c0_c8_5
DBGWVR8_EL1			S2_0_c0_c8_6
DBGWCR8_EL1			S2_0_c0_c8_7
DBGBVR9_EL1			S2_0_c0_c9_4
DBGBCR9_EL1			S2_0_c0_c9_5
DBGWVR9_EL1			S2_0_c0_c9_6
DBGWCR9_EL1			S2_0_c0_c9_7
DBGBVR10_EL1		S2_0_c0_c10_4
DBGBCR10_EL1		S2_0_c0_c10_5
DBGWVR10_EL1		S2_0_c0_c10_6
DBGWCR10_EL1		S2_0_c0_c10_7
DBGBVR11_EL1		S2_0_c0_c11_4
DBGBCR11_EL1		S2_0_c0_c11_5
DBGWVR11_EL1		S2_0_c0_c11_6
DBGWCR11_EL1		S2_0_c0_c11_7
DBGBVR12_EL1		S2_0_c0_c12_4
DBGBCR12_EL1		S2_0_c0_c12_5
DBGWVR12_EL1		S2_0_c0_c12_6
DBGWCR12_EL1		S2_0_c0_c12_7
DBGBVR13_EL1		S2_0_c0_c13_4
DBGBCR13_EL1		S2_0_c0_c13_5
DBGWVR13_EL1		S2_0_c0_c13_6
DBGWCR13_EL1		S2_0_c0_c13_7
DBGBVR14_EL1		S2_0_c0_c14_4
DBGBCR14_EL1		S2_0_c0_c14_5
DBGWVR14_EL1		S2_0_c0_c14_6
DBGWCR14_EL1		S2_0_c0_c14_7
DBGBVR15_EL1		S2_0_c0_c15_4
DBGBCR15_EL1		S2_0_c0_c15_5
DBGWVR15_EL1		S2_0_c0_c15_6
DBGWCR15_EL1		S2_0_c0_c15_7
MDRAR_EL1			S2_0_c1_c0_0
OSLAR_EL1			S2_0_c1_c0_4
OSLSR_EL1			S2_0_c1_c1_4
OSDLR_EL1			S2_0_c1_c3_4
DBGPRCR_EL1			S2_0_c1_c4_4
DBGCLAIMSET_EL1		S2_0_c7_c8_6
DBGCLAIMCLR_EL1		S2_0_c7_c9_6
DBGAUTHSTATUS_EL1	S2_0_c7_c14_6
MDCCSR_EL0			S2_3_c0_c1_0
DBGDTR_EL0			S2_3_c0_c4_0
DBGDTRRX_EL0		S2_3_c0_c5_0
DBGDTRTX_EL0		S2_3_c0_c5_0
DBGVCR32_EL2		S2_4_c0_c7_0
MIDR_EL1			S3_0_c0_c0_0
MPIDR_EL1			S3_0_c0_c0_5
REVIDR_EL1			S3_0_c0_c0_6
ID_PFR0_EL1			S3_0_c0_c1_0
ID_PFR1_EL1			S3_0_c0_c1_1
ID_DFR0_EL1			S3_0_c0_c1_2
ID_AFR0_EL1			S3_0_c0_c1_3
ID_MMFR0_EL1		S3_0_c0_c1_4
ID_MMFR1_EL1		S3_0_c0_c1_5
ID_MMFR2_EL1		S3_0_c0_c1_6
ID_MMFR3_EL1		S3_0_c0_c1_7
ID_ISAR0_EL1		S3_0_c0_c2_0
ID_ISAR1_EL1		S3_0_c0_c2_1
ID_ISAR2_EL1		S3_0_c0_c2_2
ID_ISAR3_EL1		S3_0_c0_c2_3
ID_ISAR4_EL1		S3_0_c0_c2_4
ID_ISAR5_EL1		S3_0_c0_c2_5
ID_MMFR4_EL1		S3_0_c0_c2_6
ID_ISAR6_EL1		S3_0_c0_c2_7
MVFR0_EL1			S3_0_c0_c3_0
MVFR1_EL1			S3_0_c0_c3_1
MVFR2_EL1			S3_0_c0_c3_2
ID_PFR2_EL1			S3_0_c0_c3_4
ID_DFR1_EL1			S3_0_c0_c3_5
ID_MMFR5_EL1		S3_0_c0_c3_6
ID_AA64PFR0_EL1		S3_0_c0_c4_0
ID_AA64PFR1_EL1		S3_0_c0_c4_1
ID_AA64ZFR0_EL1		S3_0_c0_c4_4
ID_AA64DFR0_EL1		S3_0_c0_c5_0
ID_AA64DFR1_EL1		S3_0_c0_c5_1
ID_AA64AFR0_EL1		S3_0_c0_c5_4
ID_AA64AFR1_EL1		S3_0_c0_c5_5
ID_AA64ISAR0_EL1	S3_0_c0_c6_0
ID_AA64ISAR1_EL1	S3_0_c0_c6_1
ID_AA64MMFR0_EL1	S3_0_c0_c7_0
ID_AA64MMFR1_EL1	S3_0_c0_c7_1
ID_AA64MMFR2_EL1	S3_0_c0_c7_2
SCTLR_EL1			S3_0_c1_c0_0
ACTLR_EL1			S3_0_c1_c0_1
CPACR_EL1			S3_0_c1_c0_2
RGSR_EL1			S3_0_c1_c0_5
GCR_EL1				S3_0_c1_c0_6
ZCR_EL1				S3_0_c1_c2_0
TRFCR_EL1			S3_0_c1_c2_1
TTBR0_EL1			S3_0_c2_c0_0
TTBR1_EL1			S3_0_c2_c0_1
TCR_EL1				S3_0_c2_c0_2
APIAKeyLo_EL1		S3_0_c2_c1_0
APIAKeyHi_EL1		S3_0_c2_c1_1
APIBKeyLo_EL1		S3_0_c2_c1_2
APIBKeyHi_EL1		S3_0_c2_c1_3
APDAKeyLo_EL1		S3_0_c2_c2_0
APDAKeyHi_EL1		S3_0_c2_c2_1
APDBKeyLo_EL1		S3_0_c2_c2_2
APDBKeyHi_EL1		S3_0_c2_c2_3
APGAKeyLo_EL1		S3_0_c2_c3_0
APGAKeyHi_EL1		S3_0_c2_c3_1
SPSR_EL1			S3_0_c4_c0_0
ELR_EL1				S3_0_c4_c0_1
SP_EL0				S3_0_c4_c1_0
SPSel				S3_0_c4_c2_0
CurrentEL			S3_0_c4_c2_2
PAN					S3_0_c4_c2_3
UAO					S3_0_c4_c2_4
ICC_PMR_EL1			S3_0_c4_c6_0
ICV_PMR_EL1			S3_0_c4_c6_0
AFSR0_EL1			S3_0_c5_c1_0
AFSR1_EL1			S3_0_c5_c1_1
ESR_EL1				S3_0_c5_c2_0
ERRIDR_EL1			S3_0_c5_c3_0
ERRSELR_EL1			S3_0_c5_c3_1
ERXFR_EL1			S3_0_c5_c4_0
ERXCTLR_EL1			S3_0_c5_c4_1
ERXSTATUS_EL1		S3_0_c5_c4_2
ERXADDR_EL1			S3_0_c5_c4_3
ERXPFGF_EL1			S3_0_c5_c4_4
ERXPFGCTL_EL1		S3_0_c5_c4_5
ERXPFGCDN_EL1		S3_0_c5_c4_6
ERXMISC0_EL1		S3_0_c5_c5_0
ERXMISC1_EL1		S3_0_c5_c5_1
ERXMISC2_EL1		S3_0_c5_c5_2
ERXMISC3_EL1		S3_0_c5_c5_3
TFSR_EL1			S3_0_c5_c6_0
TFSRE0_EL1			S3_0_c5_c6_1
FAR_EL1				S3_0_c6_c0_0
PAR_EL1				S3_0_c7_c4_0
PMSCR_EL1			S3_0_c9_c9_0
PMSICR_EL1			S3_0_c9_c9_2
PMSIRR_EL1			S3_0_c9_c9_3
PMSFCR_EL1			S3_0_c9_c9_4
PMSEVFR_EL1			S3_0_c9_c9_5
PMSLATFR_EL1		S3_0_c9_c9_6
PMSIDR_EL1			S3_0_c9_c9_7
PMBLIMITR_EL1		S3_0_c9_c10_0
PMBPTR_EL1			S3_0_c9_c10_1
PMBSR_EL1			S3_0_c9_c10_3
PMBIDR_EL1			S3_0_c9_c10_7
PMINTENSET_EL1		S3_0_c9_c14_1
PMINTENCLR_EL1		S3_0_c9_c14_2
PMMIR_EL1			S3_0_c9_c14_6
MAIR_EL1			S3_0_c10_c2_0
AMAIR_EL1			S3_0_c10_c3_0
LORSA_EL1			S3_0_c10_c4_0
LOREA_EL1			S3_0_c10_c4_1
LORN_EL1			S3_0_c10_c4_2
LORC_EL1			S3_0_c10_c4_3
MPAMIDR_EL1			S3_0_c10_c4_4
LORID_EL1			S3_0_c10_c4_7
MPAM1_EL1			S3_0_c10_c5_0
MPAM0_EL1			S3_0_c10_c5_1
VBAR_EL1			S3_0_c12_c0_0
RVBAR_EL1			S3_0_c12_c0_1
RMR_EL1				S3_0_c12_c0_2
ISR_EL1				S3_0_c12_c1_0
DISR_EL1			S3_0_c12_c1_1
ICC_IAR0_EL1		S3_0_c12_c8_0
ICV_IAR0_EL1		S3_0_c12_c8_0
ICC_EOIR0_EL1		S3_0_c12_c8_1
ICV_EOIR0_EL1		S3_0_c12_c8_1
ICC_HPPIR0_EL1		S3_0_c12_c8_2
ICV_HPPIR0_EL1		S3_0_c12_c8_2
ICC_BPR0_EL1		S3_0_c12_c8_3
ICV_BPR0_EL1		S3_0_c12_c8_3
ICC_AP0R0_EL1		S3_0_c12_c8_4
ICV_AP0R0_EL1		S3_0_c12_c8_4
ICC_AP0R1_EL1		S3_0_c12_c8_5
ICV_AP0R1_EL1		S3_0_c12_c8_5
ICC_AP0R2_EL1		S3_0_c12_c8_6
ICV_AP0R2_EL1		S3_0_c12_c8_6
ICC_AP0R3_EL1		S3_0_c12_c8_7
ICV_AP0R3_EL1		S3_0_c12_c8_7
ICC_AP1R0_EL1		S3_0_c12_c9_0
ICV_AP1R0_EL1		S3_0_c12_c9_0
ICC_AP1R1_EL1		S3_0_c12_c9_1
ICV_AP1R1_EL1		S3_0_c12_c9_1
ICC_AP1R2_EL1		S3_0_c12_c9_2
ICV_AP1R2_EL1		S3_0_c12_c9_2
ICC_AP1R3_EL1		S3_0_c12_c9_3
ICV_AP1R3_EL1		S3_0_c12_c9_3
ICC_DIR_EL1			S3_0_c12_c11_1
ICV_DIR_EL1			S3_0_c12_c11_1
ICC_RPR_EL1			S3_0_c12_c11_3
ICV_RPR_EL1			S3_0_c12_c11_3
ICC_SGI1R_EL1		S3_0_c12_c11_5
ICC_ASGI1R_EL1		S3_0_c12_c11_6
ICC_SGI0R_EL1		S3_0_c12_c11_7
ICC_IAR1_EL1		S3_0_c12_c12_0
ICV_IAR1_EL1		S3_0_c12_c12_0
ICC_EOIR1_EL1		S3_0_c12_c12_1
ICV_EOIR1_EL1		S3_0_c12_c12_1
ICC_HPPIR1_EL1		S3_0_c12_c12_2
ICV_HPPIR1_EL1		S3_0_c12_c12_2
ICC_BPR1_EL1		S3_0_c12_c12_3
ICV_BPR1_EL1		S3_0_c12_c12_3
ICC_CTLR_EL1		S3_0_c12_c12_4
ICV_CTLR_EL1		S3_0_c12_c12_4
ICC_SRE_EL1			S3_0_c12_c12_5
ICC_IGRPEN0_EL1		S3_0_c12_c12_6
ICV_IGRPEN0_EL1		S3_0_c12_c12_6
ICC_IGRPEN1_EL1		S3_0_c12_c12_7
ICV_IGRPEN1_EL1		S3_0_c12_c12_7
CONTEXTIDR_EL1		S3_0_c13_c0_1
TPIDR_EL1			S3_0_c13_c0_4
SCXTNUM_EL1			S3_0_c13_c0_7
CNTKCTL_EL1			S3_0_c14_c1_0
CCSIDR_EL1			S3_1_c0_c0_0
CLIDR_EL1			S3_1_c0_c0_1
CCSIDR2_EL1			S3_1_c0_c0_2
GMID_EL1			S3_1_c0_c0_4
AIDR_EL1			S3_1_c0_c0_7
CSSELR_EL1			S3_2_c0_c0_0
CTR_EL0				S3_3_c0_c0_1
DCZID_EL0			S3_3_c0_c0_7
RNDR				S3_3_c2_c4_0
RNDRRS				S3_3_c2_c4_1
NZCV				S3_3_c4_c2_0
DAIF				S3_3_c4_c2_1
DIT					S3_3_c4_c2_5
SSBS				S3_3_c4_c2_6
TCO					S3_3_c4_c2_7
FPCR				S3_3_c4_c4_0
FPSR				S3_3_c4_c4_1
DSPSR_EL0			S3_3_c4_c5_0
DLR_EL0				S3_3_c4_c5_1
PMCR_EL0			S3_3_c9_c12_0
PMCNTENSET_EL0		S3_3_c9_c12_1
PMCNTENCLR_EL0		S3_3_c9_c12_2
PMOVSCLR_EL0		S3_3_c9_c12_3
PMSWINC_EL0			S3_3_c9_c12_4
PMSELR_EL0			S3_3_c9_c12_5
PMCEID0_EL0			S3_3_c9_c12_6
PMCEID1_EL0			S3_3_c9_c12_7
PMCCNTR_EL0			S3_3_c9_c13_0
PMXEVTYPER_EL0		S3_3_c9_c13_1
PMXEVCNTR_EL0		S3_3_c9_c13_2
PMUSERENR_EL0		S3_3_c9_c14_0
PMOVSSET_EL0		S3_3_c9_c14_3
TPIDR_EL0			S3_3_c13_c0_2
TPIDRRO_EL0			S3_3_c13_c0_3
